Name,ResourceName,ResourceType,ResourceGroupName,Location
Subnet1-ASAv-RouteTable,Subnet1-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoonprem,eastus2
Proactive Diagnostics - webapp3,Proactive Diagnostics - webapp3,microsoft.insights/alertrules,default-applicationinsights-centralus,eastus
Proactive Diagnostics - webapplication3,Proactive Diagnostics - webapplication3,microsoft.insights/alertrules,default-applicationinsights-centralus,eastus
webapp123,webapp123,microsoft.insights/components,Default-ApplicationInsights-CentralUS,eastus
webapp3,webapp3,microsoft.insights/components,Default-ApplicationInsights-CentralUS,eastus
webapplication2,webapplication2,microsoft.insights/components,Default-ApplicationInsights-CentralUS,eastus
webapplication3,webapplication3,microsoft.insights/components,Default-ApplicationInsights-CentralUS,eastus
classicvnet,classicvnet,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,southeastasia
powershelmigarm,powershelmigarm,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,westus
RebondsNetwork,RebondsNetwork,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,southeastasia
RGUKTdemo,RGUKTdemo,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,eastus
RGUKTVNET,RGUKTVNET,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,eastus
rkvnet,rkvnet,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,southeastasia
samplenet1,samplenet1,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,westus
testing,testing,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,eastus
Testingclassic,Testingclassic,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,southeastasia
testingnet,testingnet,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,southcentralus
testingvnet,testingvnet,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,eastus
testmigratenw,testmigratenw,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,eastus
Vistaranetwork,Vistaranetwork,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,southeastasia
VistaraTestNetwork,VistaraTestNetwork,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,westus
vnet1,vnet1,Microsoft.ClassicNetwork/virtualNetworks,Default-Networking,japanwest
cspazuretest,cspazuretest,Microsoft.ClassicStorage/storageAccounts,Default-Storage-CentralUS,centralus
n5portalvhdswj63sl7hq72f,n5portalvhdswj63sl7hq72f,Microsoft.ClassicStorage/storageAccounts,Default-Storage-CentralUS,centralus
kbportalvhdszbzl0n2ck0gz,kbportalvhdszbzl0n2ck0gz,Microsoft.ClassicStorage/storageAccounts,Default-Storage-EastAsia,eastasia
0qportalvhdshc7f8phrh7ts,0qportalvhdshc7f8phrh7ts,Microsoft.ClassicStorage/storageAccounts,Default-Storage-EastUS,eastus
psudhastorageaccount,psudhastorageaccount,Microsoft.ClassicStorage/storageAccounts,Default-Storage-EastUS,eastus
testmig2newportal,testmig2newportal,Microsoft.ClassicStorage/storageAccounts,Default-Storage-EastUS,eastus
0fportalvhdsv7tlx8fmxv27,0fportalvhdsv7tlx8fmxv27,Microsoft.ClassicStorage/storageAccounts,Default-Storage-JapanWest,japanwest
8yportalvhdsc30ms13v4zz2,8yportalvhdsc30ms13v4zz2,Microsoft.ClassicStorage/storageAccounts,Default-Storage-JapanWest,japanwest
9yportalvhds5hm5fg5gr47m,9yportalvhds5hm5fg5gr47m,Microsoft.ClassicStorage/storageAccounts,Default-Storage-NorthCentralUS,northcentralus
dgportalvhdsmg7c99qg0rtk,dgportalvhdsmg7c99qg0rtk,Microsoft.ClassicStorage/storageAccounts,Default-Storage-SouthCentralUS,southcentralus
teststorage90,teststorage90,Microsoft.ClassicStorage/storageAccounts,Default-Storage-SouthCentralUS,southcentralus
automationsa,automationsa,Microsoft.ClassicStorage/storageAccounts,Default-Storage-SoutheastAsia,southeastasia
classictwo,classictwo,Microsoft.ClassicStorage/storageAccounts,Default-Storage-SoutheastAsia,southeastasia
rebondsstorage,rebondsstorage,Microsoft.ClassicStorage/storageAccounts,Default-Storage-SoutheastAsia,southeastasia
wqportalvhds9q1bf8gs1ftq,wqportalvhds9q1bf8gs1ftq,Microsoft.ClassicStorage/storageAccounts,Default-Storage-SoutheastAsia,southeastasia
2tportalvhdsdczqkv0r16sf,2tportalvhdsdczqkv0r16sf,Microsoft.ClassicStorage/storageAccounts,Default-Storage-WestUS,westus
mmkkuu789,mmkkuu789,Microsoft.ClassicStorage/storageAccounts,Default-Storage-WestUS,westus
vg1,vg1,Microsoft.ClassicStorage/storageAccounts,Default-Storage-WestUS,westus
myfirsttraffic,myfirsttraffic,Microsoft.Network/trafficmanagerprofiles,Default-TrafficManager,global
newtmp,newtmp,Microsoft.Network/trafficmanagerprofiles,Default-TrafficManager,global
specializedVMNic,specializedVMNic,Microsoft.Network/networkInterfaces,demo,eastus
